date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:21:35	491/491	---M--	200	added ('OK')	text/plain	etag:W/%221eb-Nuq6N/h/S8KpcLww5/PggGTfRGs%22	https://www.pepe.vip/robots.txt		(from )
19:21:38	902390/902390	---MCZ	200	added ('OK')	text/html	etag:W/%225119b321746814da32cca744bd633a3e%22	https://www.pepe.vip/	C:/Users/LENOVO/Desktop/alok%20aditya/www.pepe.vip/index.html	(from )
19:21:39	16618/16618	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Nov%202023%2002:12:02%20GMT	https://static.wixstatic.com/media/c267fc_29f2c0df100a457f8389688896626c8b~mv2.jpg/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/c267fc_29f2c0df100a457f8389688896626c8b~mv2.jpg	C:/Users/LENOVO/Desktop/alok%20aditya/static.wixstatic.com/media/c267fc_29f2c0df100a457f8389688896626c8b_mv2.jpg/v1/fill/w_192,h_192,lg_1,usm_0.66_1.00_0.01/c267fc_29f2c0df100a457f8389688896626c8b_mv2.jpg	(from https://www.pepe.vip/)
19:21:39	1956/1956	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Nov%202023%2001:57:17%20GMT	https://static.wixstatic.com/media/c267fc_29f2c0df100a457f8389688896626c8b~mv2.jpg/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/c267fc_29f2c0df100a457f8389688896626c8b~mv2.jpg	C:/Users/LENOVO/Desktop/alok%20aditya/static.wixstatic.com/media/c267fc_29f2c0df100a457f8389688896626c8b_mv2.jpg/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/c267fc_29f2c0df100a457f8389688896626c8b_mv2.jpg	(from https://www.pepe.vip/)
19:21:39	15685/15685	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Nov%202023%2006:24:50%20GMT	https://static.wixstatic.com/media/c267fc_29f2c0df100a457f8389688896626c8b~mv2.jpg/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/c267fc_29f2c0df100a457f8389688896626c8b~mv2.jpg	C:/Users/LENOVO/Desktop/alok%20aditya/static.wixstatic.com/media/c267fc_29f2c0df100a457f8389688896626c8b_mv2.jpg/v1/fill/w_180,h_180,lg_1,usm_0.66_1.00_0.01/c267fc_29f2c0df100a457f8389688896626c8b_mv2.jpg	(from https://www.pepe.vip/)
19:21:40	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/LENOVO/Desktop/alok%20aditya/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.pepe.vip/)
19:21:41	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/LENOVO/Desktop/alok%20aditya/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.pepe.vip/)
19:21:43	65591/65591	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2007%20Jan%202024%2013:49:06%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/Users/LENOVO/Desktop/alok%20aditya/polyfill.io/v3/polyfill.mind82c.js	(from https://www.pepe.vip/)
19:21:43	13192/13192	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Jan%202024%2013:49:06%20GMT	https://static.wixstatic.com/media/1f3f2b_e78823e3b50f4f76963293a9ab1e19c3~mv2.png/v1/fill/w_211,h_68,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/pepetitle.png	C:/Users/LENOVO/Desktop/alok%20aditya/static.wixstatic.com/media/1f3f2b_e78823e3b50f4f76963293a9ab1e19c3_mv2.png/v1/fill/w_211,h_68,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/pepetitle.png	(from https://www.pepe.vip/)
19:21:44	2674/2674	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Jan%202024%2013:49:07%20GMT	https://static.wixstatic.com/media/1f3f2b_45e0862f90b549b2b8858d28a44b60cc~mv2.png/v1/fill/w_49,h_28,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/1f3f2b_45e0862f90b549b2b8858d28a44b60cc~mv2.png	C:/Users/LENOVO/Desktop/alok%20aditya/static.wixstatic.com/media/1f3f2b_45e0862f90b549b2b8858d28a44b60cc_mv2.png/v1/fill/w_49,h_28,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/1f3f2b_45e0862f90b549b2b8858d28a44b60cc_mv2.png	(from https://www.pepe.vip/)
